customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
0080-EMYVY,Female,0,No,No,14,"One year",No,"Credit card (automatic)",51.45,727.85,Yes,No,DSL,No,Yes,No,No,No,No,"No"
0080-OROZO,Female,0,No,No,35,"One year",Yes,"Electronic check",99.25,3532.00,Yes,No,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"No"
0082-LDZUE,Male,0,No,No,1,Month-to-month,Yes,"Mailed check",44.30,44.30,Yes,No,DSL,No,No,No,No,No,No,"No"
0082-OQIQY,Male,0,No,No,29,Month-to-month,Yes,"Electronic check",94.20,2607.60,Yes,No,"Fiber optic",No,No,No,Yes,Yes,Yes,"No"
0083-PIVIK,Male,0,No,No,64,"One year",No,"Electronic check",81.25,5567.55,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,"No"
0089-IIQKO,Female,0,Yes,Yes,39,Month-to-month,Yes,"Credit card (automatic)",99.95,3767.40,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,"No"
0093-EXYQL,Female,1,No,No,40,Month-to-month,Yes,"Electronic check",91.55,3673.60,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,"No"
0093-XWZFY,Male,0,No,No,40,Month-to-month,Yes,"Credit card (automatic)",104.50,4036.85,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Yes
0094-OIFMO,Female,1,No,No,11,Month-to-month,Yes,"Electronic check",95.00,1120.30,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,Yes
0096-BXERS,Female,0,Yes,No,6,Month-to-month,No,"Electronic check",50.35,314.55,Yes,Yes,DSL,No,No,No,No,No,No,"No"
0096-FCPUF,Male,0,No,No,30,Month-to-month,Yes,"Mailed check",64.50,1888.45,Yes,Yes,DSL,Yes,No,No,No,No,Yes,"No"
0098-BOWSO,Male,0,No,No,27,Month-to-month,Yes,"Electronic check",19.40,529.80,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0100-DUVFC,Male,1,Yes,No,70,"One year",Yes,"Electronic check",104.80,7308.95,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"No"
0103-CSITQ,Female,0,Yes,No,57,"One year",Yes,"Bank transfer (automatic)",109.40,6252.70,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"No"
0104-PPXDV,Male,0,Yes,No,58,"One year",No,"Credit card (automatic)",50.30,2878.55,Yes,No,DSL,No,No,Yes,No,No,No,"No"
0106-GHRQR,Male,0,No,No,16,Month-to-month,Yes,"Bank transfer (automatic)",71.40,1212.10,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,"No"
0106-UGRDO,Female,0,Yes,No,69,"Two year",Yes,"Electronic check",116.00,8182.85,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0107-WESLM,Male,0,No,No,1,Month-to-month,Yes,"Electronic check",19.85,19.85,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes
0107-YHINA,Male,0,No,Yes,1,Month-to-month,Yes,"Electronic check",99.75,99.75,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Yes
0111-KLBQG,Male,1,Yes,Yes,32,Month-to-month,Yes,"Mailed check",93.95,2861.45,Yes,No,"Fiber optic",No,Yes,No,No,Yes,Yes,"No"
0112-QAWRZ,Male,0,Yes,Yes,16,Month-to-month,Yes,"Bank transfer (automatic)",90.80,1442.20,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,"No"
0112-QWPNC,Male,0,Yes,No,49,"One year",No,"Electronic check",84.35,4059.35,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes
0114-IGABW,Female,0,Yes,No,71,"Two year",No,"Bank transfer (automatic)",58.25,4145.90,No,"No phone service",DSL,No,Yes,Yes,Yes,Yes,Yes,"No"
0114-PEGZZ,Female,0,No,No,33,Month-to-month,No,"Electronic check",107.55,3645.50,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"No"
0114-RSRRW,Female,0,Yes,No,10,Month-to-month,Yes,"Bank transfer (automatic)",19.95,187.75,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0115-TFERT,Male,0,Yes,No,21,Month-to-month,Yes,"Electronic check",111.20,2317.10,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,Male,0,Yes,Yes,37,Month-to-month,No,"Bank transfer (automatic)",40.20,1448.80,No,"No phone service",DSL,Yes,Yes,Yes,No,No,No,Yes
0118-JPNOY,Female,1,No,No,26,Month-to-month,Yes,"Credit card (automatic)",85.80,2193.65,Yes,No,"Fiber optic",Yes,No,No,No,Yes,No,"No"
0121-SNYRK,Male,0,No,No,50,"One year",Yes,"Mailed check",35.40,1748.90,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"No"
0122-OAHPZ,Female,0,No,No,7,Month-to-month,Yes,"Electronic check",73.85,511.25,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Yes
0123-CRBRT,Female,0,Yes,Yes,61,"Two year",No,"Mailed check",88.10,5526.75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"No"
0125-LZQXK,Male,0,No,No,15,Month-to-month,Yes,"Electronic check",101.35,1553.95,Yes,No,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Yes
0128-MKWSG,Female,0,No,Yes,26,Month-to-month,No,"Mailed check",45.80,1147.00,No,"No phone service",DSL,Yes,No,No,Yes,No,Yes,"No"
0129-KPTWJ,Male,0,Yes,No,72,Month-to-month,Yes,"Electronic check",94.65,6747.35,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,"No"
0129-QMPDR,Male,0,Yes,Yes,44,"One year",Yes,"Bank transfer (automatic)",20.50,865.05,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0130-SXOUN,Male,0,No,No,66,Month-to-month,No,"Credit card (automatic)",89.40,5976.90,Yes,Yes,"Fiber optic",No,Yes,No,No,No,Yes,"No"
0133-BMFZO,Female,0,No,No,2,Month-to-month,Yes,"Electronic check",86.25,181.65,Yes,No,"Fiber optic",Yes,Yes,No,Yes,No,No,Yes
0134-XWXCE,Female,1,No,No,44,"One year",No,"Bank transfer (automatic)",74.85,3268.05,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,"No"
0135-NMXAP,Female,0,No,No,12,Month-to-month,Yes,"Bank transfer (automatic)",89.75,1052.40,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Yes
0136-IFMYD,Male,1,Yes,No,69,"Two year",Yes,"Electronic check",109.95,7634.25,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"No"
0137-OCGAB,Female,0,No,No,1,Month-to-month,Yes,"Mailed check",80.20,80.20,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Yes
0137-UDEUO,Female,0,No,No,3,Month-to-month,No,"Mailed check",19.85,63.75,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes
0139-IVFJG,Female,0,Yes,No,2,Month-to-month,No,"Electronic check",90.35,190.50,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,"No"
0141-YEAYS,Female,1,No,No,27,Month-to-month,Yes,"Bank transfer (automatic)",86.45,2401.05,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,"No"
0142-GVYSN,Male,0,No,No,26,Month-to-month,Yes,"Electronic check",20.30,511.25,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0147-ESWWR,Female,1,Yes,No,39,Month-to-month,Yes,"Electronic check",101.25,3949.15,Yes,Yes,"Fiber optic",No,No,No,Yes,Yes,Yes,"No"
0148-DCDOS,Male,0,No,No,25,Month-to-month,Yes,"Bank transfer (automatic)",94.70,2362.10,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Yes
0151-ONTOV,Female,0,No,No,1,Month-to-month,No,"Mailed check",70.90,70.90,Yes,No,"Fiber optic",No,No,No,No,No,No,Yes
0156-FVPTA,Male,0,Yes,No,22,Month-to-month,Yes,"Electronic check",54.20,1152.70,Yes,No,DSL,Yes,No,No,Yes,No,No,Yes
0164-APGRB,Female,0,No,No,72,"Two year",Yes,"Electronic check",114.90,8496.70,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0164-XAIRP,Female,0,No,No,24,"Two year",Yes,"Bank transfer (automatic)",19.55,470.20,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0168-XZKBB,Female,0,Yes,No,19,Month-to-month,Yes,"Electronic check",86.85,1564.40,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,"No"
0174-QRVVY,Male,0,Yes,Yes,71,"Two year",No,"Credit card (automatic)",25.35,1847.55,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0177-PXBAT,Male,1,Yes,No,33,Month-to-month,Yes,"Bank transfer (automatic)",109.90,3694.70,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,"No"
0178-CIIKR,Female,0,No,No,3,Month-to-month,No,"Mailed check",19.95,58.00,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0178-SZBHO,Male,0,Yes,Yes,47,Month-to-month,No,"Electronic check",87.20,4017.45,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,"No"
0181-RITDD,Male,0,Yes,Yes,62,"Two year",No,"Mailed check",108.15,6825.65,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0186-CAERR,Male,0,No,No,71,"One year",Yes,"Bank transfer (automatic)",116.30,8309.55,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0187-QSXOE,Male,1,Yes,No,7,Month-to-month,Yes,"Electronic check",89.00,605.45,Yes,No,"Fiber optic",No,No,No,No,Yes,Yes,"No"
0187-WZNAB,Female,0,Yes,Yes,27,Month-to-month,No,"Mailed check",74.40,1972.35,Yes,No,"Fiber optic",Yes,No,No,No,No,No,"No"
0188-GWFLE,Male,0,No,No,2,Month-to-month,No,"Mailed check",20.05,33.70,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0191-EQUUH,Female,0,No,Yes,25,"Two year",No,"Bank transfer (automatic)",35.05,844.45,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"No"
0191-ZHSKZ,Male,1,No,No,30,Month-to-month,Yes,"Electronic check",74.75,2111.30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,"No"
0193-ESZXP,Female,1,Yes,No,58,"One year",Yes,"Credit card (automatic)",105.50,6205.50,Yes,No,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,Yes
0195-IESCP,Male,0,Yes,No,10,Month-to-month,Yes,"Electronic check",85.25,855.30,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Yes
0196-JTUQI,Female,0,No,No,9,Month-to-month,Yes,"Credit card (automatic)",75.20,633.85,Yes,Yes,"Fiber optic",No,No,No,No,No,No,"No"
0196-VULGZ,Female,1,Yes,No,6,Month-to-month,Yes,"Electronic check",84.35,474.90,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Yes
0197-PNKNK,Female,0,Yes,Yes,69,"One year",No,"Bank transfer (automatic)",84.45,5848.60,Yes,Yes,"Fiber optic",Yes,No,Yes,No,No,No,"No"
0201-MIBOL,Female,1,No,No,66,"Two year",Yes,"Bank transfer (automatic)",102.40,6471.85,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,"No"
0201-OAMXR,Female,0,No,No,70,"One year",No,"Credit card (automatic)",115.55,8127.60,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes
0203-HHYIJ,Male,0,No,No,25,"One year",No,"Bank transfer (automatic)",25.30,676.35,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes
0206-OYVOC,Female,0,Yes,Yes,46,"Two year",Yes,"Mailed check",19.25,864.20,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0206-TBWLC,Female,0,Yes,No,54,"One year",Yes,"Mailed check",114.65,6049.50,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0207-MDKNV,Female,0,No,No,15,Month-to-month,No,"Electronic check",105.10,1582.75,Yes,No,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Yes
0208-BPQEJ,Female,0,Yes,Yes,12,Month-to-month,No,"Bank transfer (automatic)",19.40,198.10,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0212-ISBBF,Female,0,No,No,22,Month-to-month,Yes,"Electronic check",50.35,1098.85,No,"No phone service",DSL,No,Yes,No,No,Yes,Yes,"No"
0214-JHPFW,Female,0,Yes,No,70,"Two year",No,"Bank transfer (automatic)",57.80,4039.30,No,"No phone service",DSL,No,Yes,Yes,Yes,Yes,Yes,"No"
0215-BQKGS,Male,0,No,No,30,Month-to-month,Yes,"Credit card (automatic)",84.30,2438.60,Yes,No,"Fiber optic",Yes,Yes,Yes,No,No,No,"No"
0218-QNVAS,Male,0,Yes,Yes,71,"One year",No,"Bank transfer (automatic)",100.55,7113.75,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,"No"
0219-QAERP,Male,0,Yes,No,30,"One year",No,"Credit card (automatic)",19.80,576.65,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0219-YTZUE,Male,0,Yes,Yes,4,Month-to-month,Yes,"Bank transfer (automatic)",84.80,371.90,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Yes
0220-EBGCE,Male,0,No,No,2,Month-to-month,Yes,"Electronic check",85.85,167.30,Yes,No,"Fiber optic",No,No,Yes,No,No,Yes,Yes
0221-NAUXK,Male,0,No,Yes,10,"One year",Yes,"Bank transfer (automatic)",19.95,219.50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0221-WMXNQ,Male,1,No,No,4,Month-to-month,No,"Electronic check",75.35,273.40,Yes,No,"Fiber optic",Yes,No,No,No,No,No,"No"
0222-CNVPT,Male,1,No,No,52,Month-to-month,Yes,"Credit card (automatic)",48.80,2555.05,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,"No"
0224-HJAPT,Male,0,No,No,5,Month-to-month,No,"Electronic check",47.15,223.15,Yes,Yes,DSL,No,No,No,No,No,No,Yes
0224-NIJLP,Male,0,Yes,Yes,8,"Two year",No,"Mailed check",20.15,165.50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0224-RLWWD,Female,1,No,No,2,Month-to-month,Yes,"Electronic check",44.30,89.30,Yes,No,DSL,No,No,No,No,No,No,"No"
0225-ZORZP,Male,0,No,No,3,Month-to-month,No,"Electronic check",84.30,235.05,Yes,No,"Fiber optic",No,Yes,No,No,No,Yes,"No"
0228-MAUWC,Male,0,No,No,19,Month-to-month,No,"Electronic check",59.55,1144.60,Yes,Yes,DSL,No,No,Yes,Yes,No,No,"No"
0229-LFJAF,Male,0,No,No,72,"Two year",No,"Bank transfer (automatic)",69.65,4908.25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,"No"
0230-UBYPQ,Male,1,Yes,No,63,"One year",No,"Bank transfer (automatic)",36.10,2298.90,No,"No phone service",DSL,Yes,No,No,Yes,No,No,"No"
0230-WEQUW,Male,0,Yes,No,66,"Two year",Yes,"Bank transfer (automatic)",56.60,3789.20,No,"No phone service",DSL,Yes,Yes,Yes,Yes,Yes,No,"No"
0231-LXVAP,Male,0,No,No,1,Month-to-month,Yes,"Electronic check",75.90,75.90,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Yes
0233-FTHAV,Female,0,No,No,60,"One year",Yes,"Bank transfer (automatic)",79.20,4765.00,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,"No"
0234-TEVTT,Female,0,Yes,Yes,48,"One year",No,"Credit card (automatic)",45.00,2196.30,No,"No phone service",DSL,Yes,No,Yes,No,No,Yes,"No"
0235-KGSLC,Female,0,No,No,1,Month-to-month,Yes,"Credit card (automatic)",85.55,85.55,Yes,No,"Fiber optic",No,No,Yes,No,Yes,No,Yes
0236-HFWSV,Male,0,No,No,15,Month-to-month,Yes,"Electronic check",93.35,1444.65,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Yes
0237-YFUTL,Female,0,Yes,No,50,Month-to-month,Yes,"Bank transfer (automatic)",109.65,5405.80,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,Yes,"No"
0238-WHBIQ,Male,0,Yes,Yes,72,"Two year",No,"Credit card (automatic)",89.70,6339.30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"No"
0239-OXEXL,Female,0,No,No,46,Month-to-month,No,"Mailed check",84.25,3847.60,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,No,"No"
0244-LGNFY,Female,0,Yes,Yes,72,"Two year",No,"Bank transfer (automatic)",92.65,6733.00,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"No"
0247-SLUJI,Male,0,Yes,Yes,1,Month-to-month,No,"Mailed check",19.70,19.70,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No"
0248-IPDFW,Female,0,No,No,1,Month-to-month,Yes,"Electronic check",50.10,50.10,Yes,Yes,DSL,No,No,No,No,No,No,"No"
0248-PGHBZ,Female,1,No,No,67,"Two year",Yes,"Bank transfer (automatic)",92.45,6140.85,Yes,No,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"No"
0253-ZTEOB,Female,0,Yes,Yes,48,"Two year",No,"Electronic check",79.65,3870.30,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,"No"
0254-FNMCI,Female,0,No,No,72,"Two year",Yes,"Electronic check",109.90,7624.20,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"No"
0254-KCJGT,Male,0,Yes,No,52,"One year",Yes,"Credit card (automatic)",81.40,4354.45,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,"No"
0254-WWRKD,Female,0,Yes,Yes,67,"One year",No,"Credit card (automatic)",50.55,3431.75,Yes,No,DSL,No,Yes,No,No,No,No,"No"
0256-LTHVJ,Female,0,Yes,Yes,28,Month-to-month,Yes,"Electronic check",81.05,2227.10,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Yes
0257-KXZGU,Female,0,Yes,Yes,32,Month-to-month,No,"Bank transfer (automatic)",62.45,2045.55,Yes,Yes,DSL,No,Yes,Yes,No,No,No,"No"
0257-ZESQC,Female,1,Yes,No,27,Month-to-month,Yes,"Bank transfer (automatic)",75.20,1929.35,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Yes
0258-NOKBL,Male,0,No,No,3,Month-to-month,No,"Electronic check",90.40,268.45,Yes,No,"Fiber optic",No,Yes,Yes,No,No,Yes,"No"
0259-GBZSH,Male,0,No,No,2,Month-to-month,Yes,"Electronic check",85.65,181.50,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Yes
